Flow;Steam;pressure;temperature;compo1;compo2;compo3;compo4;compo5;compo6;compo7;compo8;compo9;compo10;compo11
15,803776;0,3597;2,905756595;807,9893;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,751808;0,4797;2,660586447;831,9954;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
15,060896;0,5875;2,511522997;815,8998;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,497376;0,5168;2,620378543;850,8441;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
15,183936;0,4345;2,965578111;830,0604;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,801344;0,398;2,494851427;825,6232;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,943456;0,3395;2,529175248;836,6392;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,810208;0,4493;2,969500834;801,2579;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
15,4304;0,5805;2,824360106;849,5552;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,59616;0,4455;2,59880357;806,8235;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
17,703904;0,4281;2,952829264;809,1218;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,680192;0,5814;2,573305874;838,8207;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,190304;0,335;2,286947141;854,1598;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
13,305952;0,3811;2,131999608;818,3289;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
13,830912;0,5643;2,922428165;824,0295;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
17,462752;0,3442;2,643914877;841,3698;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,981888;0,4546;2,785132882;832,6482;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
13,658816;0,33;2,357556144;803,7483;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,060192;0,4224;2,812591939;813,2373;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,445984;0,3788;2,501716191;831,4941;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
17,944512;0,4028;2,988133765;849,2684;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
12,691424;0,371;2,258507404;832,7544;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,122208;0,4269;2,541924095;824,1011;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
17,602656;0,3236;2,390899284;831,6632;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
14,58864;0,3373;2,515445719;826,99;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,499584;0,4241;2,242816515;862,4171;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
13,49456;0,4407;2,585074041;823,7677;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
12,33856;0,5022;2,690006865;806,4952;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,545728;0,398;2,951848583;802,7858;0;0,96499035;61,79838202;36,43263567;0,05699943;0,04499955;0,10799892;0,23499765;0,34499655;0,01399986;0
16,986848;0,4382;2,462488967;822,1292;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
14,150464;0,5522;2,287927822;833,7721;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
12,243552;0,3104;2,226144945;816,9603;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
12,318432;0,5936;2,556634304;818,4998;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
16,616032;0,5783;2,924389526;840,2645;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,309504;0,3627;2,678238698;823,4056;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
17,840704;0,5043;2,888104344;818,4917;0;0,01199988;97,53102469;1,37598624;0,05299947;0,11499885;0,3899961;0,01499985;0,50799492;0;0
