DUTY;ΔP;COKING_RATE;output1;output2;output3;output4;output5;output6;output7;output8;output9;output10;output11;output12;output13;output14;output15;output16;output17;output18;output19;output20;output21;output22;output23;output24;output25;output26;output27;output28;output29;output30;output31;output32;output33;output34;output35;output36;output37;output38;output39;output40;output41;output42;output43;output44;output45;output46;output47
10,97190947;0,423903;;0,927293;0,1098355;21,1004;0,294792;25,5121;3,52595;0,72463;19,3909;0,59978;2,76031;1,692373;5,16411;5,1845;2,33434;0,0318833;0,889661;0,000606227;0,000554008;0,0169959;0,250259;0,0684607;0,0182829;0,2269989;0,000600533;0,306255;0,273507;3,96332;0,0667916;0;0,742338479;0;0;0;1,56946;0,0712718;0;0;0;0,220796939;0;0;0;0,298962;0,3131953;0,021267476;0,2575373;1,069761475
10,74734813;0,390286;2,39192;1,08125;0,1461988;23,6128;0,541199;29,6635;3,2342;0,997756;15,9618;0,438296;3,24129;1,320547;3,55556;2,22549;0,889374;0,0730665;0,83943;0,000548785;0,000152157;0,00417806;0,210632;0,0466159;0,0121339;0,1347408;0,000152178;0,324505;0,231785;5,3966;0,0638176;0;0,509431101;0;0;0;1,85747;0,0505032;0;0;0;0,128883757;0;0;0;0,332962;0,5911445;0,010625097;0,3569354;1,914531044
9,60303056;0,344415;;0,950564;0,1202831;21,6812;0,314523;26,1694;3,50964;0,747894;18,8086;0,572272;2,80402;1,614584;4,89232;4,52699;2,00225;0,0356305;0,891083;0,000624009;0,000450546;0,0136776;0,246786;0,0652025;0,0174023;0,209075;0,000493241;0,307289;0,267728;4,29043;0,0679969;0;0,708803284;0;0;0;1,67423;0,0694833;0;0;0;0,206297631;0;0;0;0,31798;0,3603391;0,019697035;0,2856495;1,22903779
10,54820531;0,348537;1,97005;1,00556;0,1379601;23,5528;0,378289;27,6332;3,63038;0,793965;16,7827;0,511641;2,92042;1,376045;3,94967;2,73747;1,15426;0,0491215;0,865802;0,000712185;0,000211952;0,00619616;0,244736;0,0601515;0,0154346;0,1592578;0,000266701;0,305391;0,242998;5,36822;0,0753544;0;0,600120434;0;0;0;1,99646;0,0666599;0;0;0;0,16828761;0;0;0;0,369423;0,5498772;0,015955244;0,3883145;1,886673946
13,06530947;0,600927;;0,900878;0,0963944;19,7725;0,286738;24,663;3,35911;0,72662;20,348;0,627304;2,72766;1,857102;5,64557;6,70459;3,08614;0,0281544;0,8694;0,00050123;0,000813714;0,0251532;0,240484;0,0684088;0,018601;0,2614278;0,000796274;0,303151;0,281084;3,24147;0,058378;0;0,768340448;0;0;0;1,28927;0,0662715;0;0;0;0,233354542;0;0;0;0,245103;0,2275665;0,021350188;0,191042;0,758338996
12,49501149;0,476203;2,02;0,951684;0,10197;21,784;0,32557;26,2541;3,58084;0,769018;18,7243;0,576604;2,86606;1,61657;4,80597;4,33499;1,92318;0,0373072;0,893475;0,000629297;0,000424944;0,0128562;0,2493;0,0659217;0,0172767;0,2087012;0,000468071;0,314405;0,269206;4,33695;0,0686192;0;0,70212611;0;0;0;1,67505;0,0692844;0;0;0;0,203535349;0;0;0;0,315977;0,3709955;0,019355845;0,2893338;1,263984267
14,24684304;0,527816;3,66041;1,0708;0,09074025;23,5508;0,538023;29,4809;3,31198;1,02536;16,1051;0,448411;3,31179;1,350357;3,57926;2,22122;0,897969;0,0730238;0,843684;0,00053713;0,000153066;0,00420824;0,210801;0,0468305;0,0120654;0,1387264;0,000150379;0,337527;0,236892;5,34574;0,0622762;0;0,514125369;0;0;0;1,83521;0,0497173;0;0;0;0,128420449;0;0;0;0,325686;0,5879251;0,010557888;0,3526664;1,900381517
9,258819776;0,301647;;0,928435;0,07184468;21,3215;0,282489;25,6435;3,53302;0,730217;19,221;0,589758;2,77079;1,670761;5,107;4,96207;2,21834;0,0320214;0,892432;0,000597111;0,000516835;0,0158212;0,243516;0,0651022;0,017755;0,2211186;0,000554853;0,308891;0,273396;4,10617;0,0644775;0;0,730457744;0;0;0;1,62568;0,0683789;0;0;0;0,212277818;0;0;0;0,308391;0,3336758;0,020258766;0,2704303;1,137432354
11,61373661;0,471046;;0,943433;0,1145903;21,1192;0,322363;25,9505;3,45168;0,767269;19,2615;0,584703;2,83385;1,690173;5,08126;5,03105;2,25092;0,0349842;0,890378;0,000578137;0,000529165;0,0160962;0,244678;0,0656435;0,0174652;0,2236378;0,000547679;0,311441;0,273626;3,96086;0,0648462;0;0,721928944;0;0;0;1,5394;0,067712;0;0;0;0,21151065;0;0;0;0,292104;0,3173732;0,019704125;0,2524578;1,069991377
11,70413427;0,348963;2,31228;0,955702;0,08231492;23,4493;0,297634;26,3655;3,94173;0,703956;17,3024;0,564877;2,78064;1,423627;4,18639;3,03449;1,3218;0,0385462;0,87493;0,000793346;0,000250426;0,00755275;0,26158;0,0682633;0,0174318;0,1747121;0,000355536;0,302355;0,250819;5,32153;0,0797273;0;0,656704283;0;0;0;2,06712;0,0755331;0;0;0;0,191005663;0;0;0;0,384919;0,5269998;0,019560312;0,4029347;1,866083387
9,827145312;0,323972;1,66616;0,97726;0,1285628;22,8978;0,336778;26,9114;3,64411;0,75598;17,6198;0,542463;2,84426;1,464943;4,33337;3,36969;1,45368;0,0416159;0,881147;0,000703104;0,000289911;0,00865941;0,249639;0,0636615;0,0165905;0,1788848;0,000354302;0,305228;0,253793;4,99068;0,0740056;0;0,65242325;0;0;0;1,9087;0,0699759;0;0;0;0,186595677;0;0;0;0,35813;0,4731006;0,018097575;0,3553061;1,632252795
12,73754816;0,491647;2,10169;0,928749;0,06931739;20,9172;0,30497;25,6507;3,49505;0,769616;19,4962;0,597346;2,84576;1,733137;5,18511;5,24432;2,36468;0,0333665;0,891879;0,000554397;0,00056431;0,0172231;0,241255;0,0650596;0,0174956;0,232175;0,000573225;0,316546;0,278394;3,85458;0,0616042;0;0,729684831;0;0;0;1,5023;0,0655754;0;0;0;0,212094414;0;0;0;0,283406;0,3051712;0,019526386;0,2431764;1,025719644
11,86245114;0,541291;;0,934249;0,0926529;19,7918;0,332002;25,5725;3,17902;0,814102;20,1087;0,591014;2,85581;1,857556;5,51983;6,41367;2,90789;0,0333076;0,870263;0,000439876;0,000756852;0,0230453;0,224037;0,060622;0,0166658;0,2543912;0,000668449;0,312896;0,282194;3,23701;0,0528332;0;0,725226604;0;0;0;1,24184;0,0578115;0;0;0;0,211843227;0;0;0;0,234088;0,2336602;0,017864286;0,1825781;0,755158277
13,72377216;0,520843;2,52145;0,985697;0,1080059;22,5973;0,373942;27,1874;3,59092;0,822473;17,7964;0,541398;2,97884;1,511464;4,35146;3,43018;1,48623;0,0456034;0,886392;0,000648482;0,000299268;0,00885746;0,245513;0,0620601;0,015945;0,1840826;0,000336233;0,319432;0,259348;4,79464;0,0707029;0;0,645330819;0;0;0;1,79394;0,0662386;0;0;0;0,181760482;0;0;0;0,333809;0,4506795;0,016939847;0,3280507;1,527706244
11,00979536;0,42237;;0,928025;0,07153225;20,5132;0,303919;25,5668;3,36763;0,775151;19,7476;0,593763;2,82806;1,774167;5,34101;5,69586;2,56983;0,0325059;0,885847;0,000511844;0,000635224;0,0193991;0,233995;0,0629514;0,0172539;0,2395465;0,000612954;0,313766;0,279778;3,64006;0,0581078;0;0,732373408;0;0;0;1,41939;0,0628343;0;0;0;0,212842014;0;0;0;0,268311;0,2781897;0,019090446;0,2218691;0,923609325
10,27783107;0,378564;;0,942391;0,0937509;21,1766;0,311794;25,9683;3,44294;0,766075;19,2226;0,580291;2,82941;1,684194;5,0829;4,99042;2,22547;0,0345933;0,891254;0,000570916;0,0005213;0,0158527;0,240883;0,0639392;0,0172585;0,2217697;0,000535622;0,31199;0,273762;4,00677;0,0634191;0;0,71881753;0;0;0;1,5607;0,0662992;0;0;0;0,20829354;0;0;0;0,295802;0,3237933;0,019323805;0,2566282;1,089966631
11,36587805;0,431416;2,45781;1,0895;0,1662423;23,7269;0,565622;29,8277;3,22706;1,00752;15,7734;0,432634;3,25595;1,2997;3,4701;2,11968;0,842515;0,0763797;0,834126;0,000552471;0,000141405;0,00385609;0,210832;0,0464565;0,0119827;0,1307686;0,000142903;0,323221;0,228293;5,45632;0,0647779;0;0,499233101;0;0;0;1,86389;0,0504004;0;0;0;0,126649894;0;0;0;0,332717;0,6046148;0,010399189;0,3607696;1,959014184
10,40414218;0,351218;2,48677;1,07177;0,1148295;23,6532;0,512437;29,4698;3,27223;0,982216;16,01;0,442732;3,22431;1,324754;3,58385;2,23944;0,897805;0,0701486;0,840863;0,000553517;0,000153723;0,00424145;0,210703;0,0467237;0,0122411;0,1361744;0,00015576;0,325288;0,233514;5,42991;0,0634067;0;0,514444051;0;0;0;1,88324;0,0506854;0;0;0;0,129607512;0;0;0;0,337822;0,5972873;0,010787689;0,3634305;1,939168376
